Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,21,21,15000,13319.641365087591,234.56762498244643,34953.502999967895,197.0,0.3103840541211581,0.3103840541211581,15000,16000,16000,17000,32000,35000,35000,35000,35000,35000,35000
,Aggregated,21,21,15000,13319.641365087591,234.56762498244643,34953.502999967895,197.0,0.3103840541211581,0.3103840541211581,15000,16000,16000,17000,32000,35000,35000,35000,35000,35000,35000
