Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,12,9,5400,7811.882298400936,1.8550410168245435,23403.495790902525,767.25,0.2044045500546879,0.15330341254101593,6800,9900,12000,12000,16000,23000,23000,23000,23000,23000,23000
,Aggregated,12,9,5400,7811.882298400936,1.8550410168245435,23403.495790902525,767.25,0.2044045500546879,0.15330341254101593,6800,9900,12000,12000,16000,23000,23000,23000,23000,23000,23000
