Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,1675,0,620,438.85811467001685,1.6142500098794699,944.172166986391,1106.1558208955223,61.91438286120261,0.0,620,710,740,750,790,820,860,890,930,940,940
,Aggregated,1675,0,620,438.85811467001685,1.6142500098794699,944.172166986391,1106.1558208955223,61.91438286120261,0.0,620,710,740,750,790,820,860,890,930,940,940
