Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ask,20,20,16000,19358.621843648143,13105.595666915178,34888.1985420594,197.0,0.22350804935684812,0.22350804935684812,16000,17000,17000,33000,34000,35000,35000,35000,35000,35000,35000
,Aggregated,20,20,16000,19358.621843648143,13105.595666915178,34888.1985420594,197.0,0.22350804935684812,0.22350804935684812,16000,17000,17000,33000,34000,35000,35000,35000,35000,35000,35000
