Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/search,1276,0,850,750.6510009525671,1.970082987099886,6605.695958947763,44.356583072100314,43.47607417915222,0.0,850,950,1000,1100,1300,1400,3900,4900,6600,6600,6600
,Aggregated,1276,0,850,750.6510009525671,1.970082987099886,6605.695958947763,44.356583072100314,43.47607417915222,0.0,850,950,1000,1100,1300,1400,3900,4900,6600,6600,6600
